EVENTNUM,EVENTMSGTYPE,HOMEDESCRIPTION,VISITORDESCRIPTION,TEAM
240,5,Valanciunas Offensive Goaltending Turnover (P2.T6),,TOR
241,8,,SUB: McDermott FOR Moore,CHI
242,8,,SUB: Butler FOR Snell,CHI
243,2,,MISS Butler 20' Step Back Jump Shot,CHI
244,4,,Bulls Rebound,
245,13,,,
247,12,,,
248,1,,Butler 2' Driving Layup (4 PTS),CHI
249,2,MISS Scola 6' Floating Jump Shot,,TOR
250,4,Scola REBOUND (Off:1 Def:0),,TOR
251,2,MISS Scola 3' Jump Shot,Gasol BLOCK (2 BLK),TOR
252,4,Scola REBOUND (Off:2 Def:0),,TOR
253,2,MISS Lowry 24' 3PT Jump Shot,,TOR
254,4,,Gibson REBOUND (Off:2 Def:1),CHI
